cough,سعال,Кашлица,Cough,Tos,Toux,Tosse,Кашель,Кашаљ,咳嗽,Tous,kikohozi,Tosse,खांसी,öksürük,שיעול,Ubo,AÔSO,Kagoholo,KAKONGO
cramps,تشنجات,Спазми,Cramps,Calambres,Des crampes,Caibras,Колики,Грчеви,抽筋/絞痛  ,Lakranp,mawimbi makali ya maumivu,Spasmi,ऐंठन,Kramplar,התכווצויות,Pulikat,Afinya,Cishano,I’KISHANI
diarrhea,إسهال,Диария,Diarrhea,Diarrea,Diarrhée,Diarreia ,Понос,Пролив,腹泻,Dyare,kuhara,Diarrea,दस्त,ishal,שלשול,Pagtatae,Ihala,Kuhara,U’LUHARO (UKUNYANYANYA)
difficulty_breathing,صعوبة في التنفس,Затруднено дишане,Diffuculty Breathing,Dificultad para respirar,Respiration difficile,Respiração dificil, трудность с дыханием,Диффуцулти дисање,呼吸困難,Respirasyon ak difikilte,vigumu kupumua,Difficolta a respirare,सांस लेने में कठिनाई,Nefes darlığı,קשיי נשימה,Hirap sa paghinga,M'mukya ihekama,Kuyisa n'emisi,KUYISA BULIGO
diffuse,واسع الانتشار,разсеяна,Diffuse,General,Diffuse,Difuso,Pаспространённая,Дифузан,扩散疼痛 ,Dou,sawa kila mahali,Diffuso,व्यापक,difüz,לפזר,di-malinaw,Mweko wose,Hoshi,HOSHI 
dizziness,دوخة,замаяност,Dizziness,Mareo,Étourdissements,Vertigem,Головокружение,Вртоглавица,头晕,Vètij,kizunguzungu,Vertigini,चक्कर आना,baş dönmesi,סחרחורת,Pagkahilo,Ishabangeeca,Cizunguzungu,BITWITWI
drugs,المخدرات,наркотици,drugs,las drogas,de la drogue,drogas,наркотикaми,лекови,药物中毒,dwòg,madawa ya kulevya,farmaci,दवाओं,ilaçlar,תרופות,bawal na gamot,Mite y'ilalu'ya,Boge,KIMOGE
emergency_triage_questionnaire,الطوارئ -- استبيان الفرز,Аварийно - Triage Въпросник,Emergency - Triage Questionnaire,Emergencia - Cuestionario de Triage,Urgence - Questionnaire de Triage,Emergência - Questionário de Triagem,критическое положение - анкетный опрос сортировки,Хитне - Триаге Упитник,紧急 - 分流问卷,Ijans - Kesyonè Triyaj,Dharura - triage dodoso,Emergenza - Questionario Triage,आपातकालीन - ट्राइएज प्रश्नावली,Acil Triaj Anketi,שאלון מיון חירום,Mga katanungan para sa di-inaasahang pangyayari,Ndocibwa Cinabale'a isobolwa,Byaduba - amadoso g'obuchanguzi,BYADUBADUBA-BIBUZO BYO KULONDOLA
fainting,الإغماء / فقدان الوعي,загуба на съзнание,Fainting/loss of consciousness,Desmayo/ Pérdida de conocimiento,Évanouissements/Perte de conscience,Desmaios / perda de consciência,Обморок / потеря сознания,Несвестица / губитак свести,昏厥/丧失意识,Endispoze / pèt konesans,watazirai/kupoteza fahamu,Svenimento / perdita di coscienza,बेहोशी / चेतना की हानि,bayılma,התעלפות,Pagkahimatay/Kawalang-malay,Iciminya bwenge,Kuheza obwenge,KUTERA UBWENGE (KUHOLA)
fatigue,تعب,Умора,Fatigue,Fatiga,Fatigue,Cansaço,Усталость,Умор,疲劳,Fatig,Uchovu,Fatica,थकान,yorgunluk,תשישות,Pagod,l'ucwa,Murhamo,MULUHO
fever,حمى,Висока температура,Fever,Fiebre,Fièvre,Fébre,Лихорадка,Грозница,发烧,Lafyèv,Homa,Febbre,बुखार,ateş,חום,Lagnat,Icikya mweko,Ishushira,I’SHUSHIRA
green,أخضر,зелен,green,verde,vertes,verdes,зеленые,зелена,绿色,vèt,kijani,verde,हरा,yeşil,ירוק,Luntian,Ite basashi,Bishusha olubala (bya lubala),BYASI BIBISHI
how_intense_is_pain, ما هى شدة الألم بمقياس من 1 إلى 10؟,Колко интензивен е болката си по скала от 1 до 10?,How intense is your pain on a scale from 1 to 10?,Como intenso es su dolor en una escala de 1 a 10?,Indiquez l'intensité de votre douleur de 1 a 10?,Como intensa é sua dor em uma escala de 1 a 10 ,сколько стоит ваша боль по шкале от 1 до 10?,Како је ваш интензиван бол на скали од 1 до 10?,您的痛楚程度有多強烈？ 請以1-10為單位衡量 ,Ki jan entans se doulè ou sou yon echèl de 1 a 10?,Jinsi maumivu yako ni makali kwa kiwango 1-10?,Quanto intenso è il vostro dolore su una scala da 1 a 10?,कैसे तीव्र 1 के पैमाने पर 10 के लिए अपने दर्द है?,1 ile 10 arasında bir skala üzerinde ağrınızın yoğunluğunu bir sayı ile tanımlayınız,"של בסולם שלך הכאב את מדרג היית איך
*1-10

","Gaano katindi ang iyong sakit, isa hanggang sampu, sampu bilang pinakamasakit",Lubaba luwele bilie 1-10,Okulumwa kuli kunganaci kurhenga 1 kuhika 10,UYEREKE UBUZITO BWO KULYANIRWA KUTANGIRA KUHI GUMA HALINDE KWI KUMI 1-10
intoxication_with,التسمم بسبب :,Интоксикация с:,Intoxication with:,Intoxicación con:,lnloxication avec:,Intoxicação com:,Опьянение от:,Интоксикација са:,中毒：,Entoksikasyon ak:,Wamelewa na matumizi ya:,Intossicazione con:,नशा:,Zehirlenme sebebi:,*?השתמשת חומרים באילו,Pagkalango sa:,Ilya bitu byashacelela,Cimoge,BYOKULA BIBI (KUKOLOBOLWA)
itching,الحكة,Сърбеж,Itching,Comezón,Démangeaison,Comichão ,Зудящий,Свраб,瘙痒,Demanjezon,Mwasho,Prurito,खुजली,Kaşıntı,עקצוץ,Pangangati,Ikyakala,Kawasha,LUBABA
language,اللغة : العربية,език: български,Language: English,Idioma: Español,Langue: Français,Língua: Português ,Язык: Русский  ,Језик: Српски,语言：英语,Lang: kreyòl,Lugha: Swahili,Lingua: Italiano,भाषा: हिंदु,Dil: Türkçe,אנגליתשפה: *,Wikang ingles,Atendeci: Elungwani,Lulimi: Lulimi Mashi,Kifuliiru
localized,محلي,Локализирани,Localized,Localizada,localisée,Localizada,Локализованная,Локализовани,局部疼痛 ,Lokalize,katika sehemu moja,Localizzata,स्थानबद्ध,Lokalize,ממוקם,Dito lamang,Hatu beni,Hantu,HAGUMA (HANDU HAGUMA)
nausea,غثيان,Гадене,Nausea,Náusea,Nausée,Náusea,Тошнота,Мучнина,恶心,Noze,Kichefuchefu,Nausea,मतली,bulantı,בחילה,Alibadbad,Eselu,Kulinzi shala,SHOLOGOSI
numbness,تخدر,Скованост,Numbness,Entumecimiento,Engourdissement,Entorpecimento,Онемение,Утрнулост,麻痺/凍僵,Pèt sansasyon,Ganzi,Intorpidimento,अकड़ना,Uyuşukluk/ hissizlik,קהות,Pagkamanhid,Ekanjikanji,Kuzindoha k'omubiri (nkogwishirire ecirumbu),KURUMBUKUTERA IMISI MU KIHE KININI
pain,ألم,Болка,Pain,Tiene dolor,Une douleur,Dor,Боль,Бол,疼痛,Doulè,Maumivu,Dolore,दर्द,ağrı,כאב,Sakit,Ibabaca (lubaba),Kulumwa,BULYANIRWE
pain_scale,"1-3 = مقبول
10= لا يطاق",Допустим = 1-3 Непоносимата = 10,Tolerable = 1-3   Unbearable = 10,Tolerable = 1-3   Insoportable = 10,Tolérable = 1-3   Insupportable = 10,Tolerável = 1-3 Insuportável = 10,сносный = 1-3 Невыносимая = 10,Толерисати = 1-3 Неподношљива = 10,可容忍= 1-3不堪忍受= 10,sipòtab = 1-3 ensipòtab = 10,"vumilika= 1-3, yasiyovumilika = 10",Tollerabile = 1-3 insostenibile = 10,1-3 = असहनीय सहनीय 10,Dayanılabilir = 1-3 Dayanılamaz = 10,"נסבלים = 1-3
בלתי נסבלים = 10","Matitiis: 1-3, Di-matiis 4-10","Wicucumi'A= 1-3
Ushabasha= 10",Kulembera= 1-3 Kurhalembera= 10,"KUGOYERA 1-3, I’BITANGASHOBOKA=10"
palpitations,خفقان,Сърцебиене,Palpitations,Palpitaciones,Palpitations,Palpitações,Cердцебиение,Палпитације,心悸,Palpitasyon,Hisia za moyo wako kuwapiga katika kifua chako,Palpitazioni,dhadkan,çarpıntı,לב דפיקות,Pagtibok,Mtema kebekebe,Kudurha omurhima,MUTIMA GULIMUSHI LIKA DUBADUBA
poison,السم (مثال : منتجات النظافة المنزلية),отрова (например: домакински продукти),poison (ex: household products),veneno (por ejemplo: productos de limpieza),du poison (ex. produits ménagers),veneno (ex: Produtos de uso doméstico),яд (например: домашними продуктами),отров (на пример: производа за домаћинство),毒药（例如：家用产品）,pwazon (eks: pwodwi kay la),sumu (ex: kaya bidhaa),veleno (es: prodotti per la casa),जहर (जैसे घरेलू उत्पादों),Zehir (örnek: ev ürünleri),רעל (לשעבר: מוצרים ביתיים),Lason (halimbawa: mga produkto para sa bahay),Sumu (bitu bya m'numba),Sumu,BYOKULYA BIBI
pressure,الضغط,Натиск,Pressure,Presión,Une pression,Una pressão,Давление,Притисак,压力,Presyon,Shinikizo,Pressione,दबाव,basınç,לחץ,Presyon,Icinde'wa,Misi,UKUTUNDA
stabbing,طعن/حاد,Oстра,Stabbing,en puñalada,Poignardante,Penetrante,шарп,Убадање,刺痛   ,"Presyon
Kout kouto",Kudungwa na kisu,Lanciante,ghonpna,Sivri cisim saplanması/ bıçaklamak,הדקיר,Pagsaksak,Iukya,Nka ngorho,U’KUSHITA (U’KUSHUTA)
stool_desc,"
البراز (البراز أسود أو أحمر الدم مع البراز)","изпражненията (изпражненията са черни, червена кръв с изпражненията)",stool (black stool or red blood with stool),Uno o varios miembros hinchados,selles (selles noires ou sang rouge avec selles),fézes (fézes pretas ou sangue vermelho com as fézes),кале (черный кал или красная кровь в кале),столица (црна столица или црвена крвна са столици),便血（黑便或大便红细胞）,poupou ( poupou nwa oswa poupou ak wouj san  ),kinyesi (nyeusi kinyesi au damu nyekundu na kinyesi),feci (feci neri o sangue rosso con le feci),स्टूल (मल या मल में लाल रक्त अश्वेतों),Dışkı/ büyük aptes (koyu renk/ siyah dışkı veya kanlı dışkı),אדום עם צואה) צואה (צואה שחורה או דם,dumi ng tao (itim na dumi ng tao o pulang dugo sa dumi),Mshi (tubi twa m milu- mshi wa tuula m'tubi),Mazi (mazi miru erhi muko omu mazi),I’MYANDA MIRU – U’MUKO MUMYANDA  (AMAVI MIRU – UMUKO MUMAVI)
swelling,تورم لعضو من الجسم أو أكثر,Подуване на един или повече крайници,Swelling of one or more limbs,Uno o más miembros hinchados,Un/des membres enflés,Inchaço de um ou mais membros,Отек одной или нескольких конечностей,Отицање једног или више удова,肢体肿胀,Anfle a youn oubyen plis manm yo,Uvimbe katika mikono na miguu,Gonfiore di uno o più arti,एक या एक से अधिक अंग की सूजन,Bir ya da daha fazla uzuvun şişmesi,יותר או אחת בגפה נפיחות,Pamamaga ng isa o higit pang braso o binti,Ebimba,Kurhunda ebirumbu,KUKEMA (IKIRUMBU KIHEMURI)
tightness,ضيق,Стягане,Tightness,Punzadas,Un serrement,Um aperto,плотная,Стегнутост,紧张,Sere,Kifua,Tensione,वोल्ट,Gerginlik hissi,לחץ,Paninikip,Afinya,Kusera,KUFYETA
urine,بول,Урината ,Urine,Orina,Urine,Urina,Моча,Урин,尿液呈血,Pipi,Mkojo,Urina,मूत्र,idrar,שתן,Ihi,M masu,Mashu,A’MASHWI
vomiting,قيء,Повръщане,Vomiting,Vómitos,vomissements,Vômitos,Рвота,Повраћање,呕吐,Vomisman,Kutapika,Vomito,वमन करना,kusma,הקאה,Pagsusuka,Bilui,Kushala,UKUSHALA
weight_loss,فقدان الوزن,Загубата на телесна маса,Loss of weight,Pérdida de peso,Perte de poids,Perda de peso,Потеря веса,Губитак тежине,体重下降,Pèdi pwa,Hasara ya uzito,Perdita di peso,वजन में कमी,kilo kaybı,במשקלי רידה,Pagpayat/Kawalan ng timbang,I'O'A mweko,Kuhorha,UKUTERA UBUZITO
what_is_the_reason,ما هو سبب طلبك للأستشارة؟ يرجى تحديد الظروف التي تصف حالتك بشكل دقيق.,"Каква е причината за вашата консултация? Моля, изберете условия, които описват най-добрия си положение.",What is the reason for your consultation? Please select the conditions that describe your situation best.,"¿Cuál es la razón de su consulta? Por favor, seleccione las condiciones que describen su situación lo mejor.",Quelle est votre raison de consultation? S'il vous plaît choisir les conditions qui décrivent votre situation.,Qual é a razão de sua consulta? Por favor seleccione a condições que descrevem melhor a suia situacao.,"Что является причиной Вашей консультации? Пожалуйста, выберите условия, которые описывают вашу ситуацию лучше.",Шта је разлог за консултације? Молимо Вас да одаберете услове који описују ваш најбољи ситуацију.,您咨询的原因是什么？请选择最能夠描述您的情况,Ki sa ki se rezon ki fè ou la pou konsiltasyon ou a? Tanpri chwazi kondisyon yo ki dekri sitiyasyon ou pi byen ,Ni sababu gani kwa ajili ya mashauriano yako? Tafadhali chagua masharti ambayo kuelezea hali yako bora.,Qual è la ragione per la sua consulta? Si prega di selezionare le condizioni che descrivono la sua situazione piu accuratamente.,अपने परामर्श के लिए क्या कारण है? स्थिति है कि स्थिति को और अधिक सही वर्णन का चयन करें.,Muayene sebebiniz nedir? Durumunuzu en iyi tanımlayan cümleleri seçiniz.,ביותר טוב שלך המצב את המתארים התנאים את בחר אנא ?שלך להתייעצות הסיבה מהי ,Ano ang dahilan ng iyong konsultasyon? PIliin ang pinaka-angkop.,Lumbaka lwa'e wacumona mte'e? Nahilumbelela: ulemuhungwa Bile?,Bici birhumire wayishibona docteur? Amazibu gawe gali gahi?,BIKI BYATUMA WAYIJI BONA BAGANGA (U’MUFUMU)? LIBYAKYSIMIISA UTOLE AHANDU AHA SOBAN WIRI KWO YUVWITI.
white,أبيض,бял,white,blanca,blanches,brancas,белые,бели,白,blan,nyeupe,bianco,सफ़ेद,beyaz,. לבן,puti,Ya m'maha,Mweru,BYERU
with_secretions,مع افرازات,със секрети,with secretions,con secreción,avec secrétions,com secreções,с выделениями,са секретима,分泌物呈 ,ak sekresyon,kukohoa up kamasi,con secrezioni,स्राव के साथ,sekresyonları ile/ salgılamalı, הפרשות עם ,may lumalabas,Bioloto,N'ebigohozi,KIKOROTWA
yellow,أصفر,жълт,yellow,amarillenta,jaunâtres,amarelas,желтые,жута,黄色,jòn,manjano,giallo,पीला,sarı,צהוב,dilaw,Enjano,Bishush' amale (Bya male),U’MUGINA
,,,,,,,,,,,,,,,,,,,
how_long_suffering,منذ متى وأنت تعاني من هذه الحالة/الأعراض؟,"Колко време сте били, страдащи от това състояние?",How long have you been suffering from this condition?,¿Cuánto tiempo ha estado sufriendo de esta condición?,Depuis quand souffrez-vous de ce problème?,Há quanto tempo você vem sofrendo deste problema,Как давно вы страдающих от этого состояния?,колико дуго сте били пате од овог стања?,以上情况發生有多久？,Depi konbyen tan ou te soufri nan kondisyon sa a?,Muda gani umekuwa mateso kutokana na hali hii?,Da quanto tempo sei colpito da questa condizione?,तुम कितनी देर तक इस स्थिति से पीड़ित हैं?,Ne kadar süredir hastasınız? / Hastalığınız ne kadardır sürmekte?,,Gaano katagal na itong kondisyon?,Ule muubakana ihanja lule?,Kurhenga mangaci ogwerhe ago mazibu?,I’NO NGORANE YATONDERA LIHI?
days,أيام,дни ,days,días,jours,dias,дней,дани,天,jou,siku,giorno,दिन,günler,ימים,araw,Lusuku,Lusiku,LUSIKU
months,أشهر,месеца,months,meses,mois,meses,месяцев,месеци,个月,mwa,miezi,mesi,महीने,Aylar,חודשים,buwan,Mweci,Mwezi,U’MWEZI
years,سنة,години,years,años,années,anos,лет,године,年,ane,miaka,anni,उम्र,Yıllar,שנים,taon,Mwa'a,Mwaka,IMYAKA
is_this_the_first_time,هل هذه هي المرة الأولى؟,Дали това е първи път?,Is this the first time?,¿Es esta la primera vez?,Est-ce la première fois?,Esta é a primeira vez?,Разве это впервые?,Да ли је ово први пут?,这是第一次吗？,Èske sa se premye fwa a?,"Je, hii ni mara ya kwanza?",Questa è la prima volta?,यह पहली बार है?,Bu ilk kez mi?,,Ito ba ang unang pagkakataon?,Ule ubale'a,Ka bo burhanzi?,KABWO BUTAZI?
yes,نعم,Да,Yes,Sí,Oui,Sim,Да,Да,是,Wi,Ndiyo,Sì,हां,evet,כן,Oo,E'e,Neci,EGO (EEH)
no,لا,Не,No,No,Non,Não,Нет,не,не,No,Hakuna,No,नहीं,hayır,לא,Hindi,Bupe,Nanga,NANGA
number_of_times,عدد المرات :,Колко пъти:,Number of times:,Número de veces:,Nombre de fois:,Quantas vezes:,Число раз:,Колико пута:,發生次数： ,Kantite fwa nan:,Idadi ya mara:,Quante volte:,कितनी बार:,Kaç kere:,: פעמים מספר ,Ilang beses na?,Anga,Kanga,KANGA
have_you_been_diagnosed,هل سبق أن تم تشخيصك أو علاجك من أي من المشاكل الصحية التالية :,Били ли сте някога били диагностицирани или лекувани за някоя от следните здравни проблеми?,Have you ever been diagnosed or treated for any of the following health issues?,¿Alguna vez ha sido diagnosticado o tratado por alguna de las siguientes condiciones:,Avez-vous déja été diagnostiqués ou traités pour les problèmes de santé suivants?,"
Você já foi diagnosticado ou tratado por qualquer das seguintes questões da saúde? ","
Вы когда-нибудь был поставлен диагноз или лечение для любого из следующих здоровье вопросов?",Да ли сте икада били дијагноза или третман за било који од следећих здравствених проблема?,您有诊断或治療过以下任何健康问题吗?,Eske ou janm te dyagnostike oswa trete pou nenpòt nan pwoblèm sante sa yo?,"Je, umewahi kuwa kukutwa au kutibiwa kwa yoyote ya masuala yafuatayo ya afya?",Sei mai stata diagnosticato/a o trattato/a per uno qualsiasi dei seguenti problemi di salute?,क्या तुमने कभी का निदान / इलाज किया गया / या निम्न स्वास्थ्य समस्याओं में से किसी के लिए एक?,Daha önce aşağıdaki sağlık sorunları için herhangi bir teşhis konuldu mu veya tedavi gördünüz mü?,,Ginamot na ba kayo para sa sumusunod na karamdaman?,Washilwala nalwaci ite mano?,K'okola opimirwe erhi okola obusirwe enyanya lya ezi ndwala?,KA KERA UKABONWA KANDIRI KUBUKWA GANO MALWAZI?
hypertension,ارتفاع ضغط الدم,Хипертония,Hypertension,Hipertensión,,Hipertensão,Гипертония,Хипертензија,高血压,Tansyon wo,Shinikizo la damu,Ipertensione,अतिरक्तदाब,Hipertansiyon/ yüksek tansiyon,דם לחץ יתר ,Alta-presyon,Hypertension malali ya mayo,A tansion,Mutima kupupapup
congestive_heart_failure,فشل القلب الاحتقاني,сърдечна недостатъчност,Congestive Heart Failure,Insuficiencia cardíaca ,Insuffisance cardiaque ,Insuficiência cardíaca,Застойная сердечная недостаточность,Конгестивне срчане инсуфицијенције,充血性心力衰竭,Konjestif kè Si w,Congestive Moyo Kushindwa,Insufficienza cardiaca congestizia,Congestive हार्ट में विफलता,Konjestif kalp yetmezliği,אי ספיקת לב ,Atake sa Puso,Walshilwala Malwaci,Okuyabirwa kw'omurhima,BULWAZI BWO MUTIMA
heart_attack,نوبة قلبية,инфаркт,Heart Attack,Infarto agudo de miocardio/ Ataque cardíaco/ Infarto,Crise cardiaque,Ataque cardíaco/ infarto ,Сердечный приступ,Срчани напад,心脏病发作,Kriz Kadyak,Moyo mashambulizi,Infarto,रोधगलितांश,Kalp krizi,לבהתקף ,Atake sa puso,Masungu mamtema,Ndwala y'omurhima,U’MUTIMA KUKANGUKA
date,تاريخ,дата,date,fecha,date,data,дата,датум,日期,dat,tarehe,data,तारीख,tarih,תאריך,petsa,Suku,"Lusiku, mwezi, mwaka",LUSIKU – U’MWEZI – U’MWAKA
emphysema,انتفاخ الرئة,Емфизема,Emphysema,Enfisema,Emphysème,Enfisema,Эмфизема,Емфизем,肺气肿,Anfizèm,Emphazyma,Enfisema,वातस्फीति,anfizem,,Emphysema (sakit sa baga),Makye mbibukyo,Amahaha gayunjwire mishi,KUHEMA KANDIRI KUGIRA MUKA MUMAGALA
chronic_bronchitis,التهاب الشعب الهوائية المزمن,Хроничен бронхит,Chronic bronchitis,Bronquitis crónica,La bronchite chronique,Bronquite crónica,Хронический бронхит,Хронични бронхитис,慢性支气管炎,Bwonchit kwonik ,Mkamba sugu,Bronchite cronica,क्रोनिक ब्रोन्काइटिस,Kronik bronşit, כרוני ברונכיטיס ,Di-gumagaling o matagal nang Bronchitis,Masungu na bibukya,Bulwazi bw'amahaha,BULWAZI BWA BAFUFWA BWESIKU NYINGI
asthma,الربو,Астма,Asthma,Asma,L'asthme,Asma,Астма,Астма,哮喘,Opresyon,Pumu,Asma,दमा,astım,אסטמה,Hika,Mbefu,Buhema,MBEFU
stroke,السكتة الدماغية,Инсулт,Stroke,Accidente cerebrovascular/ derrame cerebral,Accident Vasculaire Cérébral (ACV),Acidente vascular cerebral/ derrame cerebral,Инсульт,Удар,中风,Konjesyon Serebral,Kiharusi,Colpo apoplettico,स्ट्रोक,İnme/ felç,שבץ,Atakeng Serebral,Mii ya bongo iubakana,Omuko gugandamine guje omw'irhwe,MISI YA BWONGO KUBEREKA
diabetes,مرض السكري,Диабет,Diabetes,Diabetes,Diabète,Diabete,Диабет,Дијабетес,糖尿病,Dyabèt,Ugonjwa wa kisukari,Diabete,मधुमेह,diyabet,סוכרת,Dyabetis,Msubalo,Ndwala y'ensukari,BULWAZI BWE SUKARI (KUSHUBALA SHUBALA)
type1,النوع الأول,Тип I,type I,tipo I,type I,tipo I,Тип I,тип И,I型,Tip 1,aina mimi,di tipo I,मैं लिखें,Tip 1,1 סוג,Type I,Eche'a 'yubale'a (m'lu'wambaka),Lubero lurhanzi,UBUTAZI
type2,النوع الثاني,Тип II,type II,tipo II,type II,tipo II,Тип II,типа ИИ,II型,Tip 2,aina II,di tipo II,प्रकार द्वितीय,Tip 2,2 סוג ,Tye II,eche'a 'ya'abele (m'buÔcu),Lubero lwa kabirhi,UBUGIRAKABIRI
hiv_aids,فيروس نقص المناعة البشرية / الإيدز,ХИВ / СПИН,HIV / AIDS,VIH / SIDA,VIH / SIDA,HIV/ SIDA,ВИЧ / СПИД,ХИВ / АИДС-,艾滋病毒/艾滋病,VIH / SIDA,VVU / UKIMWI,HIV / AIDS,एचआईवी / एड्स,HIV / AIDS,איידס/HIV,HIV / AIDS,Masungu miyaka basoloko to m'mweko,Sida,BULWAZI BWA KAHEZA
physical_or_mental_handicap,عائق جسدي أو عقلي,"
физическа или умствена недъзи",A physical handicap or mental handicap,Impedimento físico o discapacidad intelectual,handicap physique ou mental,uma deficiência física ou mental,физических или умственных недостатков,Физички хендикеп или менталне неспособности, 肢体伤残或弱智 ,Yon andikap fizik oswa andikap mantal,ulemavu wa kimwili au ulemavu wa akili,Un handicap fisico o di un handicap mentale,एक शारीरिक विकलांगता या मानसिक विकलांगता,Fiziksel engelli veya zihinsel engellilik,נפשית נכות או פיזית נכות ,Kapansanan sa isip o sa katawan,Bulema hange itenga bwenge,Cirema: bulema buhi? ,BULEMA KANDI KUTERA U’BWENGE  (KIRÉRÉ)
specify,حدد/صف,Задайте,Specify,Especifique,Précisez,Especifique,Укажите,указати,請具体說明 ,Espesifye,TAJA,Specificare,निर्दिष्ट करें,belirtmek,לפרט,Tukuyin,Kuka milisha,Ombuire kugerara etansion,Kuti umuyuvwa
psychiatric_problems,المشاكل النفسية,Психиатрични проблеми,Psychiatric problems,Trastornos psiquiátricos,Troubles psychiatriques,Problemas psiquiátricos,Психиатрические проблемы,Психијатријски проблеми,精神问题,Pwoblèm tèt ou pa byen,Matatizo ya akili,Problemi psichiatrici,मानसिक समस्याओं,Psikiyatrik sorunlar, פסיכיאטריות בעיות ,Problemang Psychiatric/Problema sa pag-iisip,Bwenge l'ubakana,Kuhez/obwenge,KUSIREHA
cancer,سرطان,рак,Cancer,Cáncer,Cancer,Cancro,Рак,Рак,癌症,Kansè,Kansa,Cancro,कैंसर,kanser,סרטן,Kanser,Ikone,Kansere,KIMUNGU (KIHANDO I’KITA  UMUKIRA)
stomach_ulcer,قرحة المعدة,Язва на стомаха,Stomach Ulcer,Úlcera de estómago,Ulcère à l'estomac,Úlcera de estômago,Язва желудка,стомак чир,胃溃疡,Ulsèr nan pòch lestomak,Tumbo kidonda,Ulcera allo stomaco,पेट में अल्सर,Mide ülseri,אולקוס / קיבה כיב ,Ulser,Bilonda u lusu,Cironda oku lurholero,BIHANDO BYAMU LUTOLERO
other_diseases,أمراض أخرى,Други заболявания ,Other diseases of the,Otra enfermedad del sistema:,Autre maladie du système:,Outras doenças do:,Другие болезни,Други болести,其他疾病,Lòt maladi ki nan la,Magonjwa mengine ya,Altre malattie del,के अन्य रोगों,Diğer hastalıklar,של אחרות מחלות ,Iba pang mga sakit ng,Mange malwaci,Ezindi ndwala,BUNDI BULWAZI BWE BITONDOLA
heart_and_veins,القلب والأوردة,сърдечно-съдовата система,heart and veins,cardio-vascular,cardio-vasculaire,cardiovascular,сердце и вен,срце и вене,心脏和静脉,kè ak venn,moyo na mishipa,il cuore e le vene,दिल और नसों,Kalp ve damarlar,ועורקים לב ,puso at mga ugat,Mtema-mii,Murhima nyuma,MUTIMA N’GEMISI Y’OMUKO
